Received at: 2019-04-03 17:10:32.637689 ['00', '00', '60', 'C0', 'BF', '80', '88', '80', '84', '80', '94']
Received at: 2019-04-03 17:10:32.637804 ['61', '92', '80', 'C0', 'A0', '80', '80', '80', 'AC']
Received at: 2019-04-03 17:10:32.653680 ['60', 'C0', 'BF', '80', '88', '80', '84', '80', '94']
Received at: 2019-04-03 17:10:32.669622 ['61', '92', '80', 'C0', 'A0', '80', '80', '80', 'AC']
Received at: 2019-04-03 17:10:32.685617 ['60', 'C0', 'BF', '80', '88', '80', '84', '80', '94']
Received at: 2019-04-03 17:10:32.685680 ['61', '92', '80', 'C0', 'A0', '80', '80', '80', 'AC']
Received at: 2019-04-03 17:10:32.701603 ['60', 'C0', 'BF', '80', '88', '80', '84', '80', '94']
Received at: 2019-04-03 17:10:32.701658 ['61', '92', '80', 'C0', 'A0', '80', '80', '80', 'AC']
Received at: 2019-04-03 17:10:32.717596 ['60', 'C0', 'BF', '80', '90', '80', '84', '80', '8C']
Received at: 2019-04-03 17:10:32.717649 ['61', '92', '80', 'C0', 'A0', '80', '80', '80', 'AC']
Received at: 2019-04-03 17:10:32.733571 ['60', 'C0', 'BF', '80', '88', '80', '84', '80', '94']
Received at: 2019-04-03 17:10:32.749566 ['61', '92', '80', 'C0', 'A0', '80', '80', '80', 'AC']
Received at: 2019-04-03 17:10:32.765555 ['60', 'C0', 'BF', '80', '88', '80', '84', '80', '94']
Received at: 2019-04-03 17:10:32.765626 ['61', '92', '80', 'C0', 'A0', '80', '80', '80', 'AC']
Received at: 2019-04-03 17:10:32.781549 ['60', 'C0', 'BF', '80', '88', '80', '84', '80', '94']
Received at: 2019-04-03 17:10:32.781604 ['61', '92', '80', 'C0', 'A0', '80', '80', '80', 'AC']
Received at: 2019-04-03 17:10:32.797537 ['60', 'C0', 'BF', '80', '91', '80', '84', '80', '8B']
Received at: 2019-04-03 17:10:32.797589 ['61', '92', '80', 'C0', 'A0', '80', '80', '80', 'AC']
Received at: 2019-04-03 17:10:32.813531 ['60', 'C0', 'BF', '80', '88', '80', '84', '80', '94']
Received at: 2019-04-03 17:10:32.829527 ['61', '92', '80', 'C0', 'A0', '80', '80', '80', 'AC']
Received at: 2019-04-03 17:10:32.845523 ['60', 'C0', 'BF', '80', '88', '80', '84', '80', '94']
Received at: 2019-04-03 17:10:32.845574 ['61', '92', '80', 'C0', 'A0', '80', '80', '80', 'AC']
