Received at: 2019-04-03 16:27:26.243674 ['60', 'C1', 'BE', '80', '9F', '80', '84', '80', 'FD']
Received at: 2019-04-03 16:27:26.259703 ['61', 'B0', '89', 'C0', '80', '80', '80', '80', 'A5']
Received at: 2019-04-03 16:27:26.275694 ['60', 'C1', 'BF', '80', '98', '80', '84', '80', '83']
Received at: 2019-04-03 16:27:26.275803 ['61', 'B0', '89', 'C0', '80', '80', '80', '80', 'A5']
Received at: 2019-04-03 16:27:26.291681 ['60', 'C1', 'BE', '80', '97', '80', '84', '80', '85']
Received at: 2019-04-03 16:27:26.291759 ['61', 'B0', '89', 'C0', '80', '80', '80', '80', 'A5']
Received at: 2019-04-03 16:27:26.307660 ['60', 'C1', 'BE', '80', '9F', '80', '84', '80', 'FD']
Received at: 2019-04-03 16:27:26.323595 ['61', 'B0', '89', 'C0', '80', '80', '80', '80', 'A5']
Received at: 2019-04-03 16:27:26.323647 ['60', 'C1', 'BE', '80', '9F', '80', '84', '80', 'FD']
Received at: 2019-04-03 16:27:26.339620 ['61', 'B0', '89', 'C0', '80', '80', '80', '80', 'A5']
Received at: 2019-04-03 16:27:26.355603 ['60', 'C1', 'BF', '80', '98', '80', '84', '80', '83']
Received at: 2019-04-03 16:27:26.355654 ['61', 'B0', '89', 'C0', '80', '80', '80', '80', 'A5']
Received at: 2019-04-03 16:27:26.371605 ['60', 'C1', 'BE', '80', '9F', '80', '84', '80', 'FD']
Received at: 2019-04-03 16:27:26.371654 ['61', 'B0', '89', 'C0', '80', '80', '80', '80', 'A5']
Received at: 2019-04-03 16:27:26.387613 ['60', 'C1', 'BE', '80', '9F', '80', '84', '80', 'FD']
Received at: 2019-04-03 16:27:26.403544 ['61', 'B0', '89', 'C0', '80', '80', '80', '80', 'A5']
Received at: 2019-04-03 16:27:26.403593 ['60', 'C1', 'BE', '80', '9F', '80', '84', '80', 'FD']
Received at: 2019-04-03 16:27:26.419575 ['61', 'B0', '89', 'C0', '80', '80', '80', '80', 'A5']
Received at: 2019-04-03 16:27:26.435557 ['60', 'C1', 'BE', '80', '97', '80', '84', '80', '85']
Received at: 2019-04-03 16:27:26.435606 ['61', 'B0', '89', 'C0', '80', '80', '80', '80', 'A5']
Received at: 2019-04-03 16:27:26.451558 ['60', 'C1', 'BE', '80', '97', '80', '84', '80', '85']
Received at: 2019-04-03 16:27:26.451607 ['61', 'B0', '89', 'C0', '80', '80', '80', '80', 'A5']
Received at: 2019-04-03 16:27:26.467570 ['60', 'C1', 'BF', '80', '98', '80', '84', '80', '83']
Received at: 2019-04-03 16:27:26.483501 ['61', 'B0', '89', 'C0', '80', '80', '80', '80', 'A5']
Received at: 2019-04-03 16:27:26.483552 ['60', 'C1', 'BF', '80', '90', '80', '84', '80', '8B']
Received at: 2019-04-03 16:27:26.499530 ['61', 'B0', '89', 'C0', '80', '80', '80', '80', 'A5']
Received at: 2019-04-03 16:27:26.515511 ['60', 'C1', 'BF', '80', '98', '80', '84', '80', '83']
Received at: 2019-04-03 16:27:26.515560 ['61', 'B0', '89', 'C0', '80', '80', '80', '80', 'A5']
Received at: 2019-04-03 16:27:26.531512 ['60', 'C1', 'BF', '80', '98', '80', '84', '80', '83']
Received at: 2019-04-03 16:27:26.531562 ['61', 'B0', '89', 'C0', '80', '80', '80', '80', 'A5']
Received at: 2019-04-03 16:27:26.547487 ['60', 'C1', 'BF', '80', '98', '80', '84', '80', '83']
Received at: 2019-04-03 16:27:26.563452 ['61', 'B0', '89', 'C0', '80', '80', '80', '80', 'A5']
Received at: 2019-04-03 16:27:26.563501 ['60', 'C1', 'BE', '80', '97', '80', '84', '80', '85']
Received at: 2019-04-03 16:27:26.579457 ['61', 'B0', '89', 'C0', '80', '80', '80', '80', 'A5']
Received at: 2019-04-03 16:27:26.595465 ['60', 'C1', 'BE', '80', '9F', '80', '84', '80', 'FD']
Received at: 2019-04-03 16:27:26.595514 ['61', 'B0', '89', 'C0', '80', '80', '80', '80', 'A5']
Received at: 2019-04-03 16:27:26.611465 ['60', 'C1', 'BF', '80', '98', '80', '84', '80', '83']
Received at: 2019-04-03 16:27:26.611514 ['61', 'B0', '89', 'C0', '80', '80', '80', '80', 'A5']
Received at: 2019-04-03 16:27:26.627441 ['60', 'C1', 'BE', '80', '9F', '80', '84', '80', 'FD']
Received at: 2019-04-03 16:27:26.643409 ['61', 'B0', '89', 'C0', '80', '80', '80', '80', 'A5']
Received at: 2019-04-03 16:27:26.643490 ['60', 'C1', 'BF', '80', '98', '80', '84', '80', '83']
Received at: 2019-04-03 16:27:26.659438 ['61', 'B0', '89', 'C0', '80', '80', '80', '80', 'A5']
Received at: 2019-04-03 16:27:26.675420 ['60', 'C1', 'BE', '80', '9F', '80', '84', '80', 'FD']
Received at: 2019-04-03 16:27:26.675468 ['61', 'B0', '89', 'C0', '80', '80', '80', '80', 'A5']
Received at: 2019-04-03 16:27:26.691426 ['60', 'C1', 'BF', '80', '98', '80', '84', '80', '83']
Received at: 2019-04-03 16:27:26.691476 ['61', 'B0', '89', 'C0', '80', '80', '80', '80', 'A5']
Received at: 2019-04-03 16:27:26.707395 ['60', 'C1', 'BF', '80', '98', '80', '84', '80', '83']
Received at: 2019-04-03 16:27:26.723365 ['61', 'B0', '89', 'C0', '80', '80', '80', '80', 'A5']
Received at: 2019-04-03 16:27:26.723414 ['60', 'C1', 'BE', '80', '9F', '80', '84', '80', 'FD']
Received at: 2019-04-03 16:27:26.739366 ['61', 'B0', '89', 'C0', '80', '80', '80', '80', 'A5']
Received at: 2019-04-03 16:27:26.755408 ['60', 'C1', 'BE', '80', '97', '80', '84', '80', '85']
Received at: 2019-04-03 16:27:26.755489 ['61', 'B0', '89', 'C0', '80', '80', '80', '80', 'A5']
Received at: 2019-04-03 16:27:26.771379 ['60', 'C1', 'BF', '80', '98', '80', '84', '80', '83']
Received at: 2019-04-03 16:27:26.771456 ['61', 'B0', '89', 'C0', '80', '80', '80', '80', 'A5']
Received at: 2019-04-03 16:27:26.787361 ['60', 'C1', 'BF', '80', '98', '80', '84', '80', '83']
Received at: 2019-04-03 16:27:26.803307 ['61', 'B0', '89', 'C0', '80', '80', '80', '80', 'A5']
Received at: 2019-04-03 16:27:26.803367 ['60', 'C1', 'BE', '80', '9F', '80', '84', '80', 'FD']
Received at: 2019-04-03 16:27:26.819325 ['61', 'B0', '89', 'C0', '80', '80', '80', '80', 'A5']
Received at: 2019-04-03 16:27:26.835304 ['60', 'C1', 'BE', '80', '9F', '80', '84', '80', 'FD']
Received at: 2019-04-03 16:27:26.835356 ['61', 'B0', '89', 'C0', '80', '80', '80', '80', 'A5']
Received at: 2019-04-03 16:27:26.851305 ['60', 'C1', 'BF', '80', '98', '80', '84', '80', '83']
