Received at: 2019-04-03 17:11:11.403290 ['60', 'C0', 'BE', '80', '8F', '80', '84', '80', '8E']
Received at: 2019-04-03 17:11:11.403400 ['61', '90', '80', 'C0', '80', '80', '80', '80', 'CE']
Received at: 2019-04-03 17:11:11.419278 ['60', 'C0', 'BE', '80', '8F', '80', '84', '80', '8E']
Received at: 2019-04-03 17:11:11.419334 ['61', '90', '80', 'C0', '80', '80', '80', '80', 'CE']
Received at: 2019-04-03 17:11:11.435247 ['60', 'C0', 'BE', '80', '8F', '80', '84', '80', '8E']
Received at: 2019-04-03 17:11:11.435301 ['61', '90', '80', 'C0', '80', '80', '80', '80', 'CE']
Received at: 2019-04-03 17:11:11.451250 ['60', 'C0', 'BE', '80', '8F', '80', '84', '80', '8E']
Received at: 2019-04-03 17:11:11.467216 ['61', '90', '80', 'C0', '80', '80', '80', '80', 'CE']
Received at: 2019-04-03 17:11:11.483177 ['60', 'C0', 'BE', '80', '8F', '80', '84', '80', '8E']
Received at: 2019-04-03 17:11:11.483233 ['61', '90', '80', 'C0', '80', '80', '80', '80', 'CE']
Received at: 2019-04-03 17:11:11.499223 ['60', 'C0', 'BE', '80', '8F', '80', '84', '80', '8E']
Received at: 2019-04-03 17:11:11.499293 ['61', '90', '80', 'C0', '80', '80', '80', '80', 'CE']
Received at: 2019-04-03 17:11:11.515180 ['60', 'C0', 'BE', '80', '8F', '80', '84', '80', '8E']
Received at: 2019-04-03 17:11:11.515234 ['61', '90', '80', 'C0', '80', '80', '80', '80', 'CE']
Received at: 2019-04-03 17:11:11.531174 ['60', 'C0', 'BE', '80', '8F', '80', '84', '80', '8E']
Received at: 2019-04-03 17:11:11.547135 ['61', '90', '80', 'C0', '80', '80', '80', '80', 'CE']
Received at: 2019-04-03 17:11:11.563129 ['60', 'C0', 'BF', '80', '88', '80', '84', '80', '94']
Received at: 2019-04-03 17:11:11.563181 ['61', '90', '80', 'C0', '80', '80', '80', '80', 'CE']
Received at: 2019-04-03 17:11:11.579125 ['60', 'C0', 'BE', '80', '8F', '80', '84', '80', '8E']
Received at: 2019-04-03 17:11:11.579176 ['61', '90', '80', 'C0', '80', '80', '80', '80', 'CE']
Received at: 2019-04-03 17:11:11.595149 ['60', 'C0', 'BE', '80', '8F', '80', '84', '80', '8E']
Received at: 2019-04-03 17:11:11.595216 ['61', '90', '80', 'C0', '80', '80', '80', '80', 'CE']
Received at: 2019-04-03 17:11:11.611101 ['60', 'C0', 'BE', '80', '8F', '80', '84', '80', '8E']
Received at: 2019-04-03 17:11:11.627087 ['61', '90', '80', 'C0', '80', '80', '80', '80', 'CE']
Received at: 2019-04-03 17:11:11.643053 ['60', 'C0', 'BE', '80', '8F', '80', '84', '80', '8E']
Received at: 2019-04-03 17:11:11.643104 ['61', '90', '80', 'C0', '80', '80', '80', '80', 'CE']
Received at: 2019-04-03 17:11:11.659053 ['60', 'C0', 'BE', '80', '87', '80', '84', '80', '96']
Received at: 2019-04-03 17:11:11.659105 ['61', '90', '80', 'C0', '80', '80', '80', '80', 'CE']
Received at: 2019-04-03 17:11:11.675055 ['60', 'C0', 'BE', '80', '8F', '80', '84', '80', '8E']
Received at: 2019-04-03 17:11:11.675106 ['61', '90', '80', 'C0', '80', '80', '80', '80', 'CE']
Received at: 2019-04-03 17:11:11.691075 ['60', 'C0', 'BE', '80', '8F', '80', '84', '80', '8E']
Received at: 2019-04-03 17:11:11.707023 ['61', '90', '80', 'C0', '80', '80', '80', '80', 'CE']
Received at: 2019-04-03 17:11:11.722982 ['60', 'C0', 'BE', '80', '8F', '80', '84', '80', '8E']
Received at: 2019-04-03 17:11:11.723049 ['61', '90', '80', 'C0', '80', '80', '80', '80', 'CE', '1A', 'A5', 'A7', '99']
Received at: 2019-04-03 17:11:11.739006 ['60', 'C0', 'BE', '80', '8F', '80', '84', '80', '8E']
Received at: 2019-04-03 17:11:11.739059 ['61', '90', '80', 'C0', '80', '80', '80', '80', 'CE']
Received at: 2019-04-03 17:11:11.755005 ['60', 'C0', 'BF', '80', '88', '80', '84', '80', '94']
Received at: 2019-04-03 17:11:11.755056 ['61', '90', '80', 'C0', '80', '80', '80', '80', 'CE']
Received at: 2019-04-03 17:11:11.770987 ['60', 'C0', 'BF', '80', '88', '80', '84', '80', '94']
Received at: 2019-04-03 17:11:11.786930 ['61', '90', '80', 'C0', '80', '80', '80', '80', 'CE']
Received at: 2019-04-03 17:11:11.802960 ['60', 'C0', 'BE', '80', '8F', '80', '84', '80', '8E']
Received at: 2019-04-03 17:11:11.803029 ['61', '90', '80', 'C0', '80', '80', '80', '80', 'CE']
Received at: 2019-04-03 17:11:11.818935 ['60', 'C0', 'BE', '80', '8F', '80', '84', '80', '8E']
Received at: 2019-04-03 17:11:11.818986 ['61', '90', '80', 'C0', '80', '80', '80', '80', 'CE']
Received at: 2019-04-03 17:11:11.834932 ['60', 'C0', 'BE', '80', '8F', '80', '84', '80', '8E']
Received at: 2019-04-03 17:11:11.834984 ['61', '90', '80', 'C0', '80', '80', '80', '80', 'CE']
Received at: 2019-04-03 17:11:11.850902 ['60', 'C0', 'BE', '80', '8F', '80', '84', '80', '8E']
Received at: 2019-04-03 17:11:11.866937 ['61', '90', '80', 'C0', '80', '80', '80', '80', 'CE']
Received at: 2019-04-03 17:11:11.882862 ['60', 'C0', 'BE', '80', '8F', '80', '84', '80', '8E']
Received at: 2019-04-03 17:11:11.882919 ['61', '90', '80', 'C0', '80', '80', '80', '80', 'CE']
Received at: 2019-04-03 17:11:11.898914 ['60', 'C0', 'BE', '80', '8F', '80', '84', '80', '8E']
Received at: 2019-04-03 17:11:11.898990 ['61', '90', '80', 'C0', '80', '80', '80', '80', 'CE']
Received at: 2019-04-03 17:11:11.914885 ['60', 'C0', 'BE', '80', '8F', '80', '84', '80', '8E']
Received at: 2019-04-03 17:11:11.914952 ['61', '90', '80', 'C0', '80', '80', '80', '80', 'CE']
Received at: 2019-04-03 17:11:11.930857 ['60', 'C0', 'BE', '80', '8F', '80', '84', '80', '8E']
Received at: 2019-04-03 17:11:11.946851 ['61', '90', '80', 'C0', '80', '80', '80', '80', 'CE']
Received at: 2019-04-03 17:11:11.962807 ['60', 'C0', 'BE', '80', '8F', '80', '84', '80', '8E']
Received at: 2019-04-03 17:11:11.962859 ['61', '90', '80', 'C0', '80', '80', '80', '80', 'CE']
Received at: 2019-04-03 17:11:11.978812 ['60', 'C0', 'BE', '80', '97', '80', '84', '80', '86']
Received at: 2019-04-03 17:11:11.978865 ['61', '90', '80', 'C0', '80', '80', '80', '80', 'CE']
Received at: 2019-04-03 17:11:11.994837 ['60', 'C0', 'BE', '80', 'B7', '80', '84', '80', 'E6']
Received at: 2019-04-03 17:11:11.994906 ['61', '90', '80', 'C0', '80', '80', '80', '80', 'CE']
Received at: 2019-04-03 17:11:12.010791 ['60', 'C1', 'BE', '80', '9D', '80', '84', '80', 'FF']
Received at: 2019-04-03 17:11:12.026766 ['61', '90', '80', 'C0', '80', '80', '80', '80', 'CE']
Received at: 2019-04-03 17:11:12.042740 ['60', 'C1', 'BE', '80', '9D', '80', '84', '80', 'FF']
Received at: 2019-04-03 17:11:12.042797 ['61', '90', '80', 'C0', '80', '80', '80', '80', 'CE']
Received at: 2019-04-03 17:11:12.058765 ['60', 'C1', 'BE', '80', 'A5', '80', '84', '80', 'F7']
Received at: 2019-04-03 17:11:12.058818 ['61', '90', '80', 'C0', '80', '80', '80', '80', 'CE']
Received at: 2019-04-03 17:11:12.074739 ['60', 'C1', 'BE', '80', 'A4', '80', '84', '80', 'F8']
Received at: 2019-04-03 17:11:12.074792 ['61', '90', '80', 'C0', '80', '80', '80', '80', 'CE']
Received at: 2019-04-03 17:11:12.090762 ['60', 'C1', 'BE', '80', 'A5', '80', '84', '80', 'F7']
Received at: 2019-04-03 17:11:12.106692 ['61', '90', '80', 'C0', '80', '80', '80', '80', 'CE']
Received at: 2019-04-03 17:11:12.122687 ['60', 'C1', 'BE', '80', '9C', '80', '84', '80', '80']
Received at: 2019-04-03 17:11:12.122740 ['61', '90', '80', 'C0', '80', '80', '80', '80', 'CE']
Received at: 2019-04-03 17:11:12.138718 ['60', 'C1', 'BE', '80', 'A5', '80', '84', '80', 'F7']
Received at: 2019-04-03 17:11:12.138771 ['61', '90', '80', 'C0', '80', '80', '80', '80', 'CE']
Received at: 2019-04-03 17:11:12.154717 ['60', 'C1', 'BE', '80', 'A5', '80', '84', '80', 'F7']
Received at: 2019-04-03 17:11:12.154769 ['61', '90', '80', 'C0', '80', '80', '80', '80', 'CE']
Received at: 2019-04-03 17:11:12.170715 ['60', 'C1', 'BE', '80', 'A5', '80', '84', '80', 'F7']
Received at: 2019-04-03 17:11:12.186694 ['61', '90', '80', 'C0', '80', '80', '80', '80', 'CE']
Received at: 2019-04-03 17:11:12.202632 ['60', 'C1', 'BE', '80', 'A4', '80', '84', '80', 'F8']
Received at: 2019-04-03 17:11:12.202701 ['61', '90', '80', 'C0', '80', '80', '80', '80', 'CE']
Received at: 2019-04-03 17:11:12.218650 ['60', 'C1', 'BE', '80', 'AC', '80', '84', '80', 'F0']
Received at: 2019-04-03 17:11:12.218707 ['61', '90', '80', 'C0', '80', '80', '80', '80', 'CE']
Received at: 2019-04-03 17:11:12.234619 ['60', 'C1', 'BE', '80', 'AC', '80', '84', '80', 'F0']
Received at: 2019-04-03 17:11:12.234672 ['61', '90', '80', 'C0', '80', '80', '80', '80', 'CE']
Received at: 2019-04-03 17:11:12.250592 ['60', 'C1', 'BE', '80', 'AB', '80', '84', '80', 'F1']
Received at: 2019-04-03 17:11:12.266568 ['61', '90', '80', 'C0', '80', '80', '80', '80', 'CE']
Received at: 2019-04-03 17:11:12.282571 ['60', 'C1', 'BE', '80', 'AB', '80', '84', '80', 'F1']
Received at: 2019-04-03 17:11:12.282648 ['61', '90', '80', 'C0', '80', '80', '80', '80', 'CE']
Received at: 2019-04-03 17:11:12.298598 ['60', 'C1', 'BE', '80', 'AA', '80', '84', '80', 'F2']
Received at: 2019-04-03 17:11:12.298668 ['61', '90', '80', 'C0', '80', '80', '80', '80', 'CE']
Received at: 2019-04-03 17:11:12.314559 ['60', 'C2', 'BE', '80', '91', '80', '84', '80', '8A']
Received at: 2019-04-03 17:11:12.314618 ['61', '90', '80', 'C0', '80', '80', '80', '80', 'CE']
Received at: 2019-04-03 17:11:12.330548 ['60', 'C4', 'BD', '80', '8F', '80', '84', '80', '8B']
Received at: 2019-04-03 17:11:12.346528 ['61', '90', '80', 'C0', '80', '80', '80', '80', 'CE']
Received at: 2019-04-03 17:11:12.362493 ['60', 'C6', 'BD', '80', '8C', '80', '84', '80', '8C']
Received at: 2019-04-03 17:11:12.362550 ['61', '90', '80', 'C0', '80', '80', '80', '80', 'CE']
Received at: 2019-04-03 17:11:12.378506 ['60', 'C8', 'BD', '80', '82', '80', '84', '80', '94']
Received at: 2019-04-03 17:11:12.378564 ['61', '90', '80', 'C0', '80', '80', '80', '80', 'CE']
Received at: 2019-04-03 17:11:12.394503 ['60', 'C9', 'BD', '80', 'A8', '80', '84', '80', 'ED']
Received at: 2019-04-03 17:11:12.394575 ['61', '90', '80', 'C0', '80', '80', '80', '80', 'CE']
Received at: 2019-04-03 17:11:12.410475 ['60', 'CB', 'BC', '80', '8F', '80', '84', '80', '85']
Received at: 2019-04-03 17:11:12.426424 ['61', '90', '80', 'C0', '80', '80', '80', '80', 'CE']
