Received at: 2019-04-02 16:07:41.317421 ['60', 'C0', 'BF', '80', 'B8', '80', '84', '80', 'E4']
Received at: 2019-04-02 16:07:41.333368 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-02 16:07:41.349322 ['60', 'C0', 'BF', '80', 'B8', '80', '84', '80', 'E4']
Received at: 2019-04-02 16:07:41.349407 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-02 16:07:41.365380 ['60', 'C0', 'BF', '80', 'B8', '80', '84', '80', 'E4']
Received at: 2019-04-02 16:07:41.365439 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-02 16:07:41.381374 ['60', 'C0', 'BF', '80', 'B8', '80', '84', '80', 'E4']
Received at: 2019-04-02 16:07:41.381427 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-02 16:07:41.397345 ['60', 'C0', 'BE', '80', 'BF', '80', '84', '80', 'DE']
Received at: 2019-04-02 16:07:41.413326 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-02 16:07:41.429293 ['60', 'C0', 'BF', '80', 'B8', '80', '84', '80', 'E4']
Received at: 2019-04-02 16:07:41.429344 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-02 16:07:41.445329 ['60', 'C0', 'BF', '80', 'B8', '80', '84', '80', 'E4']
Received at: 2019-04-02 16:07:41.445380 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-02 16:07:41.461331 ['60', 'C0', 'BF', '80', 'B8', '80', '84', '80', 'E4']
Received at: 2019-04-02 16:07:41.461382 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-02 16:07:41.477309 ['60', 'C0', 'BE', '80', 'BF', '80', '84', '80', 'DE']
Received at: 2019-04-02 16:07:41.493278 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-02 16:07:41.509271 ['60', 'C0', 'BE', '80', 'BF', '80', '84', '80', 'DE']
Received at: 2019-04-02 16:07:41.509322 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-02 16:07:41.525287 ['60', 'C0', 'BF', '80', 'B8', '80', '84', '80', 'E4']
Received at: 2019-04-02 16:07:41.525338 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-02 16:07:41.541288 ['60', 'C0', 'BF', '80', 'B8', '80', '84', '80', 'E4']
Received at: 2019-04-02 16:07:41.541338 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-02 16:07:41.557265 ['60', 'C0', 'BF', '80', 'B8', '80', '84', '80', 'E4']
Received at: 2019-04-02 16:07:41.573234 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-02 16:07:41.589228 ['60', 'C0', 'BF', '80', 'B8', '80', '84', '80', 'E4']
Received at: 2019-04-02 16:07:41.589279 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-02 16:07:41.605246 ['60', 'C0', 'BF', '80', 'B8', '80', '84', '80', 'E4']
Received at: 2019-04-02 16:07:41.605310 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC', '1A', 'A5', 'A7', '99']
Received at: 2019-04-02 16:07:41.621244 ['60', 'C0', 'BF', '80', 'B8', '80', '84', '80', 'E4']
Received at: 2019-04-02 16:07:41.621295 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-02 16:07:41.637220 ['60', 'C0', 'BF', '80', 'B8', '80', '84', '80', 'E4']
Received at: 2019-04-02 16:07:41.653190 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-02 16:07:41.653240 ['60', 'C0', 'BF', '80', 'B8', '80', '84', '80', 'E4']
Received at: 2019-04-02 16:07:41.669192 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-02 16:07:41.685202 ['60', 'C0', 'BE', '80', 'BF', '80', '84', '80', 'DE']
Received at: 2019-04-02 16:07:41.685251 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-02 16:07:41.701183 ['60', 'C0', 'BE', '80', 'BF', '80', '84', '80', 'DE']
Received at: 2019-04-02 16:07:41.701256 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-02 16:07:41.717178 ['60', 'C0', 'BF', '80', 'B8', '80', '84', '80', 'E4']
Received at: 2019-04-02 16:07:41.733153 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-02 16:07:41.733204 ['60', 'C0', 'BF', '80', 'B8', '80', '84', '80', 'E4']
Received at: 2019-04-02 16:07:41.749180 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-02 16:07:41.765186 ['60', 'C0', 'BF', '80', 'B8', '80', '84', '80', 'E4']
Received at: 2019-04-02 16:07:41.765236 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-02 16:07:41.781187 ['60', 'C0', 'BF', '80', 'B8', '80', '84', '80', 'E4']
Received at: 2019-04-02 16:07:41.781238 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-02 16:07:41.797189 ['60', 'C0', 'BF', '80', 'B8', '80', '84', '80', 'E4']
Received at: 2019-04-02 16:07:41.813236 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-02 16:07:41.813502 ['60', 'C0', 'BF', '80', 'B8', '80', '84', '80', 'E4']
Received at: 2019-04-02 16:07:41.829127 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-02 16:07:41.845094 ['60', 'C0', 'BF', '80', 'B8', '80', '84', '80', 'E4']
Received at: 2019-04-02 16:07:41.845149 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-02 16:07:41.861096 ['60', 'C0', 'BF', '80', 'B8', '80', '84', '80', 'E4']
Received at: 2019-04-02 16:07:41.861151 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-02 16:07:41.877069 ['60', 'C0', 'BF', '80', 'B8', '80', '84', '80', 'E4']
Received at: 2019-04-02 16:07:41.893038 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-02 16:07:41.893090 ['60', 'C0', 'BE', '80', 'BF', '80', '84', '80', 'DE']
Received at: 2019-04-02 16:07:41.909065 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-02 16:07:41.925073 ['60', 'C0', 'BF', '80', 'B8', '80', '84', '80', 'E4']
Received at: 2019-04-02 16:07:41.925124 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-02 16:07:41.941050 ['60', 'C0', 'BF', '80', 'B8', '80', '84', '80', 'E4']
Received at: 2019-04-02 16:07:41.941101 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-02 16:07:41.957050 ['60', 'C0', 'BF', '80', 'B8', '80', '84', '80', 'E4']
Received at: 2019-04-02 16:07:41.973024 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-02 16:07:41.973075 ['60', 'C0', 'BF', '80', 'B8', '80', '84', '80', 'E4']
Received at: 2019-04-02 16:07:41.989030 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-02 16:07:42.005032 ['60', 'C0', 'BE', '80', 'B7', '80', '84', '80', 'E6']
Received at: 2019-04-02 16:07:42.005082 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-02 16:07:42.021009 ['60', 'C0', 'BF', '80', 'B8', '80', '84', '80', 'E4']
Received at: 2019-04-02 16:07:42.021060 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-02 16:07:42.037013 ['60', 'C0', 'BF', '80', 'B8', '80', '84', '80', 'E4']
Received at: 2019-04-02 16:07:42.052978 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-02 16:07:42.053029 ['60', 'C0', 'BF', '80', 'B8', '80', '84', '80', 'E4']
Received at: 2019-04-02 16:07:42.068981 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-02 16:07:42.084990 ['60', 'C0', 'BF', '80', 'B8', '80', '84', '80', 'E4']
Received at: 2019-04-02 16:07:42.085041 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-02 16:07:42.100967 ['60', 'C1', 'BF', '80', '8A', '80', '84', '80', '91']
Received at: 2019-04-02 16:07:42.101017 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-02 16:07:42.116970 ['60', 'C1', 'BF', '80', '8A', '80', '84', '80', '91']
Received at: 2019-04-02 16:07:42.132912 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-02 16:07:42.132962 ['60', 'C1', 'BF', '80', '8A', '80', '84', '80', '91']
Received at: 2019-04-02 16:07:42.148939 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-02 16:07:42.164922 ['60', 'C1', 'BF', '80', '8A', '80', '84', '80', '91']
Received at: 2019-04-02 16:07:42.164972 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-02 16:07:42.180924 ['60', 'C1', 'BF', '80', '8A', '80', '84', '80', '91']
Received at: 2019-04-02 16:07:42.180974 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
