Received at: 2019-03-29 13:50:51.310936 ['60', 'C1', 'BF', 'FF', 'C8', '80', '84', '80', 'D4']
Received at: 2019-03-29 13:50:51.326920 ['61', 'B2', '89', 'C0', '80', '80', '80', '80', 'A3']
Received at: 2019-03-29 13:50:51.342896 ['60', 'C1', 'BF', 'FF', 'C8', '80', '84', '80', 'D4']
Received at: 2019-03-29 13:50:51.342981 ['61', 'B2', '89', 'C0', '80', '80', '80', '80', 'A3']
Received at: 2019-03-29 13:50:51.358897 ['60', 'C1', 'BF', 'FF', 'D0', '80', '84', '80', 'CC']
Received at: 2019-03-29 13:50:51.358950 ['61', 'B2', '89', 'C0', '80', '80', '80', '80', 'A3']
Received at: 2019-03-29 13:50:51.374898 ['60', 'C1', 'BF', 'FF', 'C8', '80', '84', '80', 'D4']
Received at: 2019-03-29 13:50:51.374971 ['61', 'B2', '89', 'C0', '80', '80', '80', '80', 'A3']
Received at: 2019-03-29 13:50:51.390875 ['60', 'C1', 'BF', 'FF', 'C8', '80', '84', '80', 'D4']
Received at: 2019-03-29 13:50:51.406861 ['61', 'B2', '89', 'C0', '80', '80', '80', '80', 'A3']
Received at: 2019-03-29 13:50:51.422832 ['60', 'C1', 'BF', 'FF', 'C8', '80', '84', '80', 'D4']
Received at: 2019-03-29 13:50:51.422885 ['61', 'B2', '89', 'C0', '80', '80', '80', '80', 'A3']
Received at: 2019-03-29 13:50:51.438843 ['60', 'C1', 'BF', 'FF', 'C8', '80', '84', '80', 'D4']
Received at: 2019-03-29 13:50:51.438896 ['61', 'B2', '89', 'C0', '80', '80', '80', '80', 'A3']
Received at: 2019-03-29 13:50:51.454844 ['60', 'C1', 'BF', 'FF', 'C8', '80', '84', '80', 'D4']
Received at: 2019-03-29 13:50:51.454896 ['61', 'B2', '89', 'C0', '80', '80', '80', '80', 'A3']
Received at: 2019-03-29 13:50:51.470812 ['60', 'C1', 'BF', 'FF', 'C8', '80', '84', '80', 'D4']
Received at: 2019-03-29 13:50:51.486810 ['61', 'B2', '89', 'C0', '80', '80', '80', '80', 'A3']
Received at: 2019-03-29 13:50:51.502806 ['60', 'C1', 'BF', 'FF', 'C8', '80', '84', '80', 'D4']
Received at: 2019-03-29 13:50:51.502858 ['61', 'B2', '89', 'C0', '80', '80', '80', '80', 'A3']
Received at: 2019-03-29 13:50:51.518794 ['60', 'C1', 'BF', 'FF', 'C8', '80', '84', '80', 'D4']
Received at: 2019-03-29 13:50:51.518847 ['61', 'B2', '89', 'C0', '80', '80', '80', '80', 'A3']
Received at: 2019-03-29 13:50:51.534794 ['60', 'C1', 'BE', 'FF', 'CF', '80', '84', '80', 'CE']
Received at: 2019-03-29 13:50:51.534847 ['61', 'B2', '89', 'C0', '80', '80', '80', '80', 'A3']
Received at: 2019-03-29 13:50:51.550790 ['60', 'C1', 'BE', 'FF', 'CF', '80', '84', '80', 'CE']
Received at: 2019-03-29 13:50:51.566805 ['61', 'B2', '89', 'C0', '80', '80', '80', '80', 'A3', '1A', 'A5', 'A7', '99']
Received at: 2019-03-29 13:50:51.582779 ['60', 'C1', 'BF', 'FF', 'C8', '80', '84', '80', 'D4']
Received at: 2019-03-29 13:50:51.582832 ['61', 'B2', '89', 'C0', '80', '80', '80', '80', 'A3']
Received at: 2019-03-29 13:50:51.598797 ['60', 'C1', 'BE', 'FF', 'CF', '80', '84', '80', 'CE']
Received at: 2019-03-29 13:50:51.598851 ['61', 'B2', '89', 'C0', '80', '80', '80', '80', 'A3']
Received at: 2019-03-29 13:50:51.614797 ['60', 'C1', 'BF', 'FF', 'C8', '80', '84', '80', 'D4']
Received at: 2019-03-29 13:50:51.614850 ['61', 'B2', '89', 'C0', '80', '80', '80', '80', 'A3']
Received at: 2019-03-29 13:50:51.630791 ['60', 'C1', 'BF', 'FF', 'C8', '80', '84', '80', 'D4']
Received at: 2019-03-29 13:50:51.646713 ['61', 'B2', '89', 'C0', '80', '80', '80', '80', 'A3']
Received at: 2019-03-29 13:50:51.662681 ['60', 'C1', 'BF', 'FF', 'D0', '80', '84', '80', 'CC']
Received at: 2019-03-29 13:50:51.662734 ['61', 'B2', '89', 'C0', '80', '80', '80', '80', 'A3']
Received at: 2019-03-29 13:50:51.678699 ['60', 'C1', 'BF', 'FF', 'C8', '80', '84', '80', 'D4']
Received at: 2019-03-29 13:50:51.678752 ['61', 'B2', '89', 'C0', '80', '80', '80', '80', 'A3']
Received at: 2019-03-29 13:50:51.694673 ['60', 'C1', 'BF', 'FF', 'C8', '80', '84', '80', 'D4']
Received at: 2019-03-29 13:50:51.694750 ['61', 'B2', '89', 'C0', '80', '80', '80', '80', 'A3']
Received at: 2019-03-29 13:50:51.710669 ['60', 'C1', 'BE', 'FF', 'CF', '80', '84', '80', 'CE']
Received at: 2019-03-29 13:50:51.726641 ['61', 'B2', '89', 'C0', '80', '80', '80', '80', 'A3']
Received at: 2019-03-29 13:50:51.742633 ['60', 'C1', 'BF', 'FF', 'C8', '80', '84', '80', 'D4']
