Received at: 2019-04-03 16:17:26.165022 ['60', 'C1', 'BF', '80', '90', '80', '84', '80', '8B']
Received at: 2019-04-03 16:17:26.180999 ['61', 'B1', '89', 'C0', '80', '80', '80', '80', 'A4']
Received at: 2019-04-03 16:17:26.196933 ['60', 'C1', 'BF', '80', '90', '80', '84', '80', '8B']
Received at: 2019-04-03 16:17:26.197047 ['61', 'B1', '89', 'C0', '80', '80', '80', '80', 'A4']
Received at: 2019-04-03 16:17:26.212972 ['60', 'C1', 'BF', '80', '98', '80', '84', '80', '83']
Received at: 2019-04-03 16:17:26.213046 ['61', 'B1', '89', 'C0', '80', '80', '80', '80', 'A4']
Received at: 2019-04-03 16:17:26.228928 ['60', 'C1', 'BF', '80', '90', '80', '84', '80', '8B']
Received at: 2019-04-03 16:17:26.228989 ['61', 'B1', '89', 'C0', '80', '80', '80', '80', 'A4']
Received at: 2019-04-03 16:17:26.244919 ['60', 'C1', 'BF', '80', '98', '80', '84', '80', '83']
Received at: 2019-04-03 16:17:26.260877 ['61', 'B1', '89', 'C0', '80', '80', '80', '80', 'A4']
Received at: 2019-04-03 16:17:26.276866 ['60', 'C1', 'BF', '80', '90', '80', '84', '80', '8B']
Received at: 2019-04-03 16:17:26.276920 ['61', 'B1', '89', 'C0', '80', '80', '80', '80', 'A4']
Received at: 2019-04-03 16:17:26.292874 ['60', 'C1', 'BF', '80', '90', '80', '84', '80', '8B']
Received at: 2019-04-03 16:17:26.292926 ['61', 'B1', '89', 'C0', '80', '80', '80', '80', 'A4']
Received at: 2019-04-03 16:17:26.308882 ['60', 'C1', 'BE', '80', '97', '80', '84', '80', '85']
Received at: 2019-04-03 16:17:26.308936 ['61', 'B1', '89', 'C0', '80', '80', '80', '80', 'A4']
Received at: 2019-04-03 16:17:26.324855 ['60', 'C1', 'BF', '80', '90', '80', '84', '80', '8B']
Received at: 2019-04-03 16:17:26.340819 ['61', 'B1', '89', 'C0', '80', '80', '80', '80', 'A4']
Received at: 2019-04-03 16:17:26.356796 ['60', 'C1', 'BF', '80', '90', '80', '84', '80', '8B']
Received at: 2019-04-03 16:17:26.356848 ['61', 'B1', '89', 'C0', '80', '80', '80', '80', 'A4']
Received at: 2019-04-03 16:17:26.372832 ['60', 'C1', 'BF', '80', '90', '80', '84', '80', '8B']
Received at: 2019-04-03 16:17:26.372885 ['61', 'B1', '89', 'C0', '80', '80', '80', '80', 'A4']
Received at: 2019-04-03 16:17:26.388808 ['60', 'C1', 'BF', '80', '90', '80', '84', '80', '8B']
Received at: 2019-04-03 16:17:26.388860 ['61', 'B1', '89', 'C0', '80', '80', '80', '80', 'A4']
Received at: 2019-04-03 16:17:26.404813 ['60', 'C1', 'BF', '80', '98', '80', '84', '80', '83']
Received at: 2019-04-03 16:17:26.420781 ['61', 'B1', '89', 'C0', '80', '80', '80', '80', 'A4']
Received at: 2019-04-03 16:17:26.436759 ['60', 'C1', 'BE', '80', '97', '80', '84', '80', '85']
Received at: 2019-04-03 16:17:26.436811 ['61', 'B1', '89', 'C0', '80', '80', '80', '80', 'A4']
Received at: 2019-04-03 16:17:26.452790 ['60', 'C1', 'BF', '80', '90', '80', '84', '80', '8B']
Received at: 2019-04-03 16:17:26.452841 ['61', 'B1', '89', 'C0', '80', '80', '80', '80', 'A4']
Received at: 2019-04-03 16:17:26.468771 ['60', 'C1', 'BF', '80', '99', '80', '84', '80', '82']
Received at: 2019-04-03 16:17:26.468822 ['61', 'B1', '89', 'C0', '80', '80', '80', '80', 'A4']
Received at: 2019-04-03 16:17:26.484766 ['60', 'C1', 'BF', '80', '90', '80', '84', '80', '8B']
Received at: 2019-04-03 16:17:26.500740 ['61', 'B1', '89', 'C0', '80', '80', '80', '80', 'A4']
Received at: 2019-04-03 16:17:26.516708 ['60', 'C1', 'BF', '80', '90', '80', '84', '80', '8B']
