Received at: 2019-04-03 17:20:26.825680 ['00', '74', '82', '86', '8B', '80', 'A5', 'CA', 'A5', '83', 'E1']
Received at: 2019-04-03 17:20:26.825749 ['05', 'A3', 'D7']
Received at: 2019-04-03 17:20:26.841629 ['60', 'C1', 'BF', '80', '89', '80', '8C', '80', '8A']
Received at: 2019-04-03 17:20:26.857567 ['61', '80', '80', 'C0', '80', '80', '80', '80', 'DE']
Received at: 2019-04-03 17:20:26.873562 ['60', 'C1', 'BF', '80', '89', '80', '8C', '80', '8A']
Received at: 2019-04-03 17:20:26.873629 ['61', '80', 'C0', 'C0', '80', '80', '80', '80', '9E', '1A', 'A5', 'A7', '99']
Received at: 2019-04-03 17:20:26.889632 ['60', 'C1', 'BF', '80', '89', '80', '8C', '80', '8A']
Received at: 2019-04-03 17:20:26.889707 ['61', '80', 'C0', 'C0', '80', '80', '80', '80', '9E']
Received at: 2019-04-03 17:20:26.905576 ['60', 'C1', 'BF', '80', '89', '80', '8C', '80', '8A']
Received at: 2019-04-03 17:20:26.905629 ['61', '80', 'C0', 'C0', '80', '80', '80', '80', '9E']
Received at: 2019-04-03 17:20:26.921559 ['60', 'C1', 'BF', '80', '89', '80', '84', '80', '92']
Received at: 2019-04-03 17:20:26.937517 ['61', '80', 'C0', 'C0', '80', '80', '80', '80', '9E']
Received at: 2019-04-03 17:20:26.953476 ['60', 'C1', 'BF', '80', '89', '80', '84', '80', '92']
Received at: 2019-04-03 17:20:26.953531 ['61', '80', '80', 'C0', '80', '80', '80', '80', 'DE']
Received at: 2019-04-03 17:20:26.969525 ['60', 'C1', 'BF', '80', '89', '80', '84', '80', '92']
Received at: 2019-04-03 17:20:26.969578 ['61', '80', '80', 'C0', '80', '80', '80', '80', 'DE']
Received at: 2019-04-03 17:20:26.985500 ['60', 'C1', 'BF', '80', '89', '80', '84', '80', '92']
Received at: 2019-04-03 17:20:26.985552 ['61', '80', '80', 'C0', '80', '80', '80', '80', 'DE']
Received at: 2019-04-03 17:20:27.001531 ['60', 'C1', 'BF', '80', '89', '80', '84', '80', '92']
Received at: 2019-04-03 17:20:27.017436 ['61', '80', '80', 'C0', '80', '80', '80', '80', 'DE']
Received at: 2019-04-03 17:20:27.033440 ['60', 'C1', 'BF', '80', '89', '80', '84', '80', '92']
Received at: 2019-04-03 17:20:27.033494 ['61', '80', '80', 'C0', '80', '80', '80', '80', 'DE']
Received at: 2019-04-03 17:20:27.049465 ['60', 'C1', 'BF', '80', '89', '80', '84', '80', '92']
Received at: 2019-04-03 17:20:27.049517 ['61', '80', '80', 'C0', '80', '80', '80', '80', 'DE']
Received at: 2019-04-03 17:20:27.065454 ['60', 'C1', 'BF', '80', '89', '80', '84', '80', '92']
Received at: 2019-04-03 17:20:27.065506 ['61', '80', '80', 'C0', '80', '80', '80', '80', 'DE']
Received at: 2019-04-03 17:20:27.081431 ['60', 'C1', 'BF', '80', '89', '80', '84', '80', '92']
Received at: 2019-04-03 17:20:27.097413 ['61', '80', '80', 'C0', '80', '80', '80', '80', 'DE']
Received at: 2019-04-03 17:20:27.113355 ['60', 'C1', 'BF', '80', '89', '80', '84', '80', '92']
Received at: 2019-04-03 17:20:27.113414 ['61', '80', '80', 'C0', '80', '80', '80', '80', 'DE']
Received at: 2019-04-03 17:20:27.129406 ['60', 'C1', 'BF', '80', '88', '80', '84', '80', '93']
Received at: 2019-04-03 17:20:27.129460 ['61', '80', '80', 'C0', '80', '80', '80', '80', 'DE']
Received at: 2019-04-03 17:20:27.145381 ['60', 'C1', 'BF', '80', '88', '80', '84', '80', '93']
Received at: 2019-04-03 17:20:27.145433 ['61', '80', '80', 'C0', '80', '80', '80', '80', 'DE']
Received at: 2019-04-03 17:20:27.161405 ['60', 'C1', 'BF', '80', '89', '80', '84', '80', '92']
Received at: 2019-04-03 17:20:27.177330 ['61', '80', '80', 'C0', '80', '80', '80', '80', 'DE']
Received at: 2019-04-03 17:20:27.193347 ['60', 'C1', 'BF', '80', '89', '80', '84', '80', '92']
Received at: 2019-04-03 17:20:27.193427 ['61', '80', '80', 'C0', '80', '80', '80', '80', 'DE']
Received at: 2019-04-03 17:20:27.209337 ['60', 'C1', 'BF', '80', '89', '80', '84', '80', '92']
Received at: 2019-04-03 17:20:27.209448 ['61', '80', '80', 'C0', '80', '80', '80', '80', 'DE']
Received at: 2019-04-03 17:20:27.225336 ['60', 'C1', 'BF', '80', '89', '80', '84', '80', '92']
Received at: 2019-04-03 17:20:27.225392 ['61', '80', '80', 'C0', '80', '80', '80', '80', 'DE']
Received at: 2019-04-03 17:20:27.241334 ['60', 'C1', 'BF', '80', '89', '80', '84', '80', '92']
Received at: 2019-04-03 17:20:27.257301 ['61', '80', '80', 'C0', '80', '80', '80', '80', 'DE']
Received at: 2019-04-03 17:20:27.257354 ['60', 'C1', 'BF', '80', '89', '80', '84', '80', '92']
Received at: 2019-04-03 17:20:27.273327 ['61', '80', '80', 'C0', '80', '80', '80', '80', 'DE']
Received at: 2019-04-03 17:20:27.289355 ['60', 'C1', 'BF', '80', '89', '80', '84', '80', '92']
Received at: 2019-04-03 17:20:27.289448 ['61', '80', '80', 'C0', '80', '80', '80', '80', 'DE']
Received at: 2019-04-03 17:20:27.305297 ['60', 'C1', 'BF', '80', '89', '80', '84', '80', '92']
Received at: 2019-04-03 17:20:27.305376 ['61', '80', '80', 'C0', '80', '80', '80', '80', 'DE']
Received at: 2019-04-03 17:20:27.321320 ['60', 'C1', 'BF', '80', '89', '80', '84', '80', '92']
Received at: 2019-04-03 17:20:27.337275 ['61', '80', '80', 'C0', '80', '80', '80', '80', 'DE']
Received at: 2019-04-03 17:20:27.337362 ['60', 'C1', 'BF', '80', '89', '80', '84', '80', '92']
Received at: 2019-04-03 17:20:27.353254 ['61', '80', '80', 'C0', '80', '80', '80', '80', 'DE']
Received at: 2019-04-03 17:20:27.369243 ['60', 'C1', 'BF', '80', '89', '80', '84', '80', '92']
Received at: 2019-04-03 17:20:27.369304 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-03 17:20:27.385242 ['60', 'C1', 'BF', '80', '88', '80', '84', '80', '93']
Received at: 2019-04-03 17:20:27.385298 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-03 17:20:27.401242 ['60', 'C1', 'BF', '80', '89', '80', '84', '80', '92']
Received at: 2019-04-03 17:20:27.417192 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-03 17:20:27.417256 ['60', 'C1', 'BF', '80', '89', '80', '84', '80', '92']
Received at: 2019-04-03 17:20:27.433183 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-03 17:20:27.449190 ['60', 'C1', 'BF', '80', '89', '80', '84', '80', '92']
Received at: 2019-04-03 17:20:27.449243 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-03 17:20:27.465168 ['60', 'C1', 'BF', '80', '89', '80', '84', '80', '92']
Received at: 2019-04-03 17:20:27.465224 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
