Received at: 2019-02-02 20:52:28.645530 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC', '1A', 'A5', 'A7', '99', '0F']
Received at: 2019-02-02 20:52:28.661488 ['60', 'BF', 'BF', 'C0', 'BD', '80', '84', '80', 'A0', '0F']
Received at: 2019-02-02 20:52:28.661566 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC', '0F']
Received at: 2019-02-02 20:52:28.677502 ['60', 'BF', 'BF', 'C0', 'BD', '80', '84', '80', 'A0', '0F']
Received at: 2019-02-02 20:52:28.677581 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC', '0F']
Received at: 2019-02-02 20:52:28.693501 ['60', 'BF', 'BF', 'C0', 'BD', '80', '84', '80', 'A0', '0F']
Received at: 2019-02-02 20:52:28.693579 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC', '0F']
Received at: 2019-02-02 20:52:28.709476 ['60', 'BF', 'BF', 'C0', 'BD', '80', '84', '80', 'A0', '0F']
Received at: 2019-02-02 20:52:28.725432 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC', '0F']
Received at: 2019-02-02 20:52:28.741441 ['60', 'C0', 'BF', 'C0', '85', '80', '84', '80', 'D7', '0F']
Received at: 2019-02-02 20:52:28.741517 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC', '0F']
Received at: 2019-02-02 20:52:28.757474 ['60', 'BF', 'BF', 'C0', 'BD', '80', '84', '80', 'A0', '0F']
Received at: 2019-02-02 20:52:28.757552 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC', '0F']
Received at: 2019-02-02 20:52:28.773505 ['60', 'C0', 'BF', 'C0', '85', '80', '84', '80', 'D7', '0F']
Received at: 2019-02-02 20:52:28.773592 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC', '0F']
Received at: 2019-02-02 20:52:28.789485 ['60', 'C0', 'BF', 'C0', '85', '80', '84', '80', 'D7', '0F']
Received at: 2019-02-02 20:52:28.805462 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC', '0F']
Received at: 2019-02-02 20:52:28.821366 ['60', 'BF', 'BF', 'C0', 'BD', '80', '84', '80', 'A0', '0F']
Received at: 2019-02-02 20:52:28.821439 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC', '0F']
Received at: 2019-02-02 20:52:28.837407 ['60', 'C0', 'BF', 'C0', '85', '80', '84', '80', 'D7', '0F']
Received at: 2019-02-02 20:52:28.837479 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC', '0F']
Received at: 2019-02-02 20:52:28.853405 ['60', 'C0', 'BF', 'C0', '85', '80', '84', '80', 'D7', '0F']
Received at: 2019-02-02 20:52:28.853475 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC', '0F']
Received at: 2019-02-02 20:52:28.869387 ['60', 'C0', 'BF', 'C0', '85', '80', '84', '80', 'D7', '0F']
Received at: 2019-02-02 20:52:28.885355 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC', '0F']
Received at: 2019-02-02 20:52:28.901337 ['60', 'C0', 'BF', 'C0', '85', '80', '84', '80', 'D7', '0F']
Received at: 2019-02-02 20:52:28.901407 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC', '0F']
Received at: 2019-02-02 20:52:28.917353 ['60', 'C0', 'BF', 'C0', '85', '80', '84', '80', 'D7', '0F']
Received at: 2019-02-02 20:52:28.917423 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC', '0F']
Received at: 2019-02-02 20:52:28.933349 ['60', 'C0', 'BF', 'C0', '85', '80', '84', '80', 'D7', '0F']
Received at: 2019-02-02 20:52:28.933424 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC', '0F']
Received at: 2019-02-02 20:52:28.949323 ['60', 'BF', 'BF', 'C0', 'BD', '80', '84', '80', 'A0', '0F']
Received at: 2019-02-02 20:52:28.965296 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC', '0F']
Received at: 2019-02-02 20:52:28.981309 ['60', 'BF', 'BF', 'C0', 'BD', '80', '84', '80', 'A0', '0F']
Received at: 2019-02-02 20:52:28.981397 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC', '0F']
Received at: 2019-02-02 20:52:28.997303 ['60', 'BF', 'BF', 'C0', 'BD', '80', '84', '80', 'A0', '0F']
Received at: 2019-02-02 20:52:28.997376 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC', '0F']
Received at: 2019-02-02 20:52:29.013302 ['60', 'BF', 'BF', 'C0', 'BD', '80', '84', '80', 'A0', '0F']
Received at: 2019-02-02 20:52:29.013372 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC', '0F']
Received at: 2019-02-02 20:52:29.029302 ['60', 'BF', 'BF', 'C0', 'BD', '80', '84', '80', 'A0', '0F']
Received at: 2019-02-02 20:52:29.045245 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC', '0F']
Received at: 2019-02-02 20:52:29.061233 ['60', 'C0', 'BF', 'C0', '85', '80', '84', '80', 'D7', '0F']
Received at: 2019-02-02 20:52:29.061304 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC', '0F']
Received at: 2019-02-02 20:52:29.077246 ['60', 'C0', 'BF', 'C0', '85', '80', '84', '80', 'D7', '0F']
Received at: 2019-02-02 20:52:29.077321 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC', '0F']
Received at: 2019-02-02 20:52:29.093242 ['60', 'C0', 'BF', 'C0', '85', '80', '84', '80', 'D7', '0F']
Received at: 2019-02-02 20:52:29.093316 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC', '0F']
Received at: 2019-02-02 20:52:29.109240 ['60', 'C0', 'BF', 'C0', '86', '80', '84', '80', 'D6', '0F']
Received at: 2019-02-02 20:52:29.125189 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC', '0F']
Received at: 2019-02-02 20:52:29.141151 ['60', 'C0', 'BF', 'C0', '86', '80', '84', '80', 'D6', '0F']
Received at: 2019-02-02 20:52:29.141221 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC', '0F']
